feature,mean_selection_freq,selected_in_n_folds
CD302,0.028000000000000004,0
PMVK,0.028000000000000004,0
CD38,0.028000000000000004,0
TRAF2,0.027333333333333334,0
CX3CL1,0.027333333333333334,0
DSG3,0.02733333333333333,0
179_EGFR,0.026000000000000006,0
LTBP3,0.026000000000000002,0
DPEP2,0.026000000000000002,0
ASGR1,0.026000000000000002,0
137_SOD2,0.025333333333333336,0
134_TNFRSF10C,0.025333333333333333,0
CCL25,0.024666666666666667,0
PLA2G10,0.024666666666666667,0
MAPT,0.024666666666666667,0
131_PAI,0.024000000000000007,0
164_CTSD,0.024000000000000007,0
188_ICAM-2,0.024000000000000004,0
123_TF,0.024000000000000004,0
FLRT2,0.024,0
NTRK3,0.023333333333333338,0
126_CNTN1,0.02333333333333333,0
151_PI3,0.02333333333333333,0
AREG,0.02333333333333333,0
DGKZ,0.022666666666666672,0
IL32,0.02266666666666667,0
GSTP1,0.022666666666666665,0
OSM,0.021333333333333336,0
ROBO2,0.021333333333333333,0
187_RARRES2,0.02066666666666667,0
118_PAR-1,0.02066666666666667,0
HSP90B1,0.020666666666666667,0
CLM-1,0.020666666666666667,0
MATN3,0.020000000000000004,0
189_KLK6,0.02,0
SNCG,0.019333333333333334,0
Siglec-9,0.019333333333333334,0
166_CCL3,0.018666666666666668,0
DRAXIN,0.018666666666666668,0
129_FABP4,0.018000000000000002,0
155_VSIG2,0.018000000000000002,0
157_PRELP,0.018000000000000002,0
PSME1,0.018000000000000002,0
